dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
adult,pyro,['fnlwgt']->relationship,0.2608502450860606,0.25575162767464066,0.46938775510204084,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->Education-num,0.0026437934215722825,0.0028161654580472146,0.20408163265306123,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->sex,0.8900627620039975,0.8882861559960923,0.9591836734693877,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->race,0.8986539827877476,0.8957115016438556,0.9795918367346939,False,1,0.9727626459143969
adult,pyro,['age']->fnlwgt,0.00032083868425381024,0.0023498805534141803,0.004618937644341801,False,1,0.03724291272929405
adult,pyro,['fnlwgt']->Marital-status,0.30470037835728436,0.2968125923413986,0.5510204081632653,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->workclass,0.0,0.0,0.46938775510204084,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->Hours-per-week,0.14813739754323996,0.15494257850931456,0.3673469387755102,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->Capital-gain,0.054248310832398894,0.0583011130633506,0.8367346938775511,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->occupation,0.0,0.002856070288839285,0.10204081632653061,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->income,0.004663854396061096,0.004956305584759914,0.6326530612244898,False,1,0.9727626459143969
adult,pyro,['fnlwgt']->education,0.0026437934215722825,0.0028161654580472146,0.20408163265306123,False,1,0.9727626459143969
adult,pyro,['age']->income,0.11146753057321857,0.13275726813012417,0.7396073903002309,False,1,0.03724291272929405
adult,pyro,['age']->occupation,0.01629438595854993,0.03319759529754399,0.19110854503464203,False,1,0.03724291272929405
adult,pyro,['age']->Capital-gain,0.020027789816148944,0.05620665523285112,0.9064665127020786,False,1,0.03724291272929405
adult,pyro,['age']->relationship,0.12720398330190508,0.14332424054170892,0.5092378752886836,False,1,0.03724291272929405
adult,pyro,['occupation']->Capital-gain,0.006976471893123115,0.03009353194488909,0.9086322869955157,False,1,0.008337965536409116
adult,pyro,['occupation']->relationship,0.04609030721417695,0.05057538622200157,0.43946188340807174,False,1,0.008337965536409116
adult,pyro,['Marital-status']->relationship,0.42053337090668774,0.4941510305198575,0.6768973214285714,False,1,0.0038910505836575876
adult,pyro,['education']->Capital-gain,0.009815908571689014,0.03586370890844323,0.9085810431856421,False,1,0.008893829905503057
adult,pyro,['Education-num']->education,1.0,1.0,1.0,False,1,0.008893829905503057
adult,pyro,['age']->sex,0.019565091060316786,0.014978610323049733,0.6766743648960739,False,1,0.03724291272929405
adult,pyro,['education']->Education-num,1.0,1.0,1.0,False,1,0.008893829905503057
adult,pyro,['Education-num']->relationship,0.01706258473276001,0.021936569347309944,0.4105440269209198,False,1,0.008893829905503057
adult,pyro,['occupation']->sex,0.1430078035836594,0.12415063811840495,0.7174887892376681,False,1,0.008337965536409116
adult,pyro,['age']->education,0.03798606393958426,0.07086209640260768,0.35161662817551964,False,1,0.03724291272929405
adult,pyro,['Education-num']->Capital-gain,0.009815908571689014,0.03586370890844323,0.9085810431856421,False,1,0.008893829905503057
adult,pyro,['education']->relationship,0.01706258473276001,0.021936569347309944,0.4105440269209198,False,1,0.008893829905503057
adult,pyro,['age']->Education-num,0.03798606393958415,0.07086209640260768,0.35161662817551964,False,1,0.03724291272929405
adult,pyro,['relationship']->sex,0.41466014597938616,0.4259880923779585,0.7847183491355271,False,1,0.0033351862145636463
adult,pyro,['occupation']->income,0.1323981259570448,0.12083437695573036,0.7539237668161435,False,1,0.008337965536409116
adult,pyro,['occupation']->education,0.059996564806481856,0.11540120392787924,0.39125560538116594,False,1,0.008337965536409116
adult,pyro,['age']->race,0.0,0.0,0.8423787528868361,False,1,0.03724291272929405
adult,pyro,['age']->workclass,0.039908630339532736,0.05447850381942274,0.687066974595843,False,1,0.03724291272929405
adult,pyro,['age']->Marital-status,0.2085583937079405,0.20292332823463857,0.624133949191686,False,1,0.03724291272929405
adult,pyro,['Hours-per-week']->Capital-gain,0.005737512163779157,0.022391761838789003,0.906628242074928,False,1,0.03557531962201223
adult,pyro,['education']->income,0.12122088177646317,0.10716896925801352,0.7627593942793045,False,1,0.008893829905503057
adult,pyro,['occupation']->Education-num,0.059996564806481856,0.11540120392787924,0.39125560538116594,False,1,0.008337965536409116
adult,pyro,['occupation']->race,0.026107387234265977,0.030572146021829137,0.8475336322869955,False,1,0.008337965536409116
adult,pyro,['occupation']->workclass,0.24251519607913408,0.2981194888736492,0.7595291479820628,False,1,0.008337965536409116
adult,pyro,['Education-num']->income,0.12122088177646317,0.10716896925801365,0.7627593942793045,False,1,0.008893829905503057
adult,pyro,['relationship']->Marital-status,0.5919750218578002,0.5800538379206955,0.8081427774679308,False,1,0.0033351862145636463
adult,pyro,['relationship']->Capital-gain,0.012722940263481308,0.07597675347551693,0.9090909090909091,False,1,0.0033351862145636463
adult,pyro,['Education-num']->race,0.005924743676091193,0.022691905737734393,0.8463264161525519,False,1,0.008893829905503057
adult,pyro,['education']->workclass,0.008190489529380951,0.01796528935357317,0.6915311273135165,False,1,0.008893829905503057
adult,pyro,['age']->Hours-per-week,0.018625484985942742,0.046296623616094636,0.46131639722863743,False,1,0.03724291272929405
